Location,locationName,locationUsage,Inactive,Location_Type,Primary_Address
L-ISU-461-7892,0478D HEADY - Heady Hall,Work Space; Business Asset,0,Office Facilities,0478D Heady
L-ISU-461-7893,0478E HEADY - Heady Hall,Work Space; Business Asset,0,Office Facilities,0478E Heady
L-ISU-461-7894,0478F HEADY - Heady Hall,Work Space; Business Asset,0,Office Facilities,0478F Heady
L-ISU-461-7895,0478G HEADY - Heady Hall,Work Space; Business Asset,0,Office Facilities,0478G Heady
L-ISU-580-3849,0479 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0479 Carver
L-ISU-534-5081,0479 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0479 Design
L-ISU-461-7896,0479 HEADY - Heady Hall,Work Space; Business Asset,0,Office Facilities,0479 Heady
L-ISU-471-8194,0479 HILTON - Hilton Coliseum,Business Asset,0,Other,0479 Hilton
L-ISU-224-28446,0479 STADIUM - Jack Trice Stadium,Business Asset,0,General Use Facilities,0479 Jack Trice Stdm
L-ISU-625-3099,0480 BESSEY - Bessey Hall,Business Asset,0,Other,0480 Bessey
L-ISU-580-3850,0480 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0480 Carver
L-ISU-534-5082,0480 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0480 Design
L-ISU-405-21958,0480 LAGOMAR - Lagomarcino Hall,Business Asset,0,Other,0480 Lagomarcino
L-ISU-260-23186,0480 ROSS H - Ross Hall,Business Asset,0,Other,0480 Ross
L-ISU-270-15775,0480 SCIENCE - Science Hall,Business Asset,0,Other,0480 Science
L-ISU-235-17593,0480 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0480 Town Engr
L-ISU-270-22057,0480A SCIENCE - Science Hall,Business Asset,0,Supporting Facilities,0480A Science
L-ISU-625-3100,0481 BESSEY - Bessey Hall,Business Asset,0,Other,0481 Bessey
L-ISU-534-5083,0481 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0481 Design
L-ISU-461-7897,0481 HEADY - Heady Hall,Work Space; Business Asset,0,Office Facilities,0481 Heady
L-ISU-405-10089,0481 LAGOMAR - Lagomarcino Hall,Business Asset,0,Other,0481 Lagomarcino
L-ISU-270-15776,0481 SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0481 Science
L-ISU-224-28447,0481 STADIUM - Jack Trice Stadium,Business Asset,0,General Use Facilities,0481 Jack Trice Stdm
L-ISU-580-3851,0481A CARVER - Carver Hall,Business Asset,0,Other,0481A Carver
L-ISU-270-15777,0481A SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0481A Science
L-ISU-270-15740,0481B SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0481B Science
L-ISU-270-15703,0481C SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0481C Science
L-ISU-625-3101,0482 BESSEY - Bessey Hall,Business Asset,0,Other,0482 Bessey
L-ISU-580-3852,0482 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0482 Carver
L-ISU-534-5084,0482 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0482 Design
L-ISU-260-23185,0482 ROSS H - Ross Hall,Business Asset,0,Other,0482 Ross
L-ISU-270-15704,0482 SCIENCE - Science Hall,Business Asset,0,Other,0482 Science
L-ISU-235-17594,0482 TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0482 Town Engr
L-ISU-235-17595,0482A TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0482A Town Engr
L-ISU-235-17596,0482B TOWN - Town Engineering Building,Work Space; Business Asset,0,Office Facilities,0482B Town Engr
L-ISU-625-3102,0483 BESSEY - Bessey Hall,Business Asset,0,Other,0483 Bessey
L-ISU-580-3853,0483 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0483 Carver
L-ISU-534-5085,0483 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0483 Design
L-ISU-461-7898,0483 HEADY - Heady Hall,Work Space; Business Asset,0,Office Facilities,0483 Heady
L-ISU-405-10316,0483 LAGOMAR - Lagomarcino Hall,Business Asset,0,General Use Facilities,0483 Lagomarcino
L-ISU-270-15705,0483 SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0483 Science
L-ISU-270-15706,0483A SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0483A Science
L-ISU-270-15707,0483B SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0483B Science
L-ISU-270-15708,0483C SCIENCE - Science Hall,Business Asset,0,Laboratory Facilities,0483C Science
L-ISU-580-3854,0484 CARVER - Carver Hall,Work Space; Business Asset,0,Office Facilities,0484 Carver
L-ISU-534-5086,0484 DESIGN - College Of Design,Work Space; Business Asset,0,Office Facilities,0484 Design
L-ISU-270-15709,0484 SCIENCE - Science Hall,Work Space; Business Asset,0,Office Facilities,0484 Science
